user_score,publisher,rating,title,metascore,platform,genre,developer
8.3,Rockstar Games,M,Grand Theft Auto V,97,PS4,"Action Adventure,Modern,Open-World",Rockstar North
7.1,Konami,E,Pro Evolution Soccer 2015,82,PS4,"Action,General,Sports,Traditional,Team,Soccer,Sim",Konami
7.0,Warner Bros. Interactive Entertainment,E10+,LEGO Batman 3: Beyond Gotham,73,PS4,"Action Adventure,General,Modern",TT Games
7.2,SCEA,E,LittleBigPlanet 3,79,PS4,"Action,Platformer,2D",Sumo Digital
6.2,Bandai Namco Games,E,MXGP: The Official Motocross Videogame,66,PS4,"Driving,Racing,Arcade,Motorcycle,Other,Motocross",Milestone S.r.l
7.7,Ubisoft,M,Far Cry 4,85,PS4,"Action,Shooter,First-Person,Modern,Arcade",Ubisoft Montreal
7.0,Atlus,T,Rollers of the Realm,75,PS4,"Action,Miscellaneous,Parlor,Pinball",Phantom Compass
5.0,Wired Productions,T,Tiny Troopers: Joint Ops,65,PS4,"Action,General,Shooter,Shoot-'Em-Up,Top-Down","Kukouri Mobile Entertainment, Plunge Interactive"
6.5,E-Line Media,E10+,Never Alone,73,PS4,"Action,Platformer,2D",Upper One Games
7.5,Sierra Games,E,Geometry Wars 3: Dimensions,85,PS4,"Action,Shooter,Static,Shoot-'Em-Up,Top-Down",Lucid Games
5.0,Ubisoft,M,Assassin's Creed Unity,70,PS4,"Action Adventure,Historic,Open-World","Ubisoft, Ubisoft Montreal"
6.4,Tikipod Limited,E10+,Aqua Kitty: Milk Mine Defender DX,74,PS4,"Action,General",Tikipod Limited
5.2,2K Sports,T,WWE 2K15,62,PS4,"Action,Sports,Fighting,Individual,Combat,Wrestling",Yuke's
7.4,Electronic Arts,M,Dragon Age: Inquisition,89,PS4,"General,Role-Playing,General,Action RPG,Western-Style",BioWare
6.8,XSEED Games,M,Akiba's Trip: Undead & Undressed,57,PS4,"Action Adventure,Adventure,General,Open-World",Acquire
5.3,Ubisoft,T,The Crew,61,PS4,"GT / Street,Driving,Racing,Simulation,GT / Street,Automobile","Ubisoft Reflections, Ivory Tower"
6.6,Switchblade Monkeys,T,Secret Ponchos,64,PS4,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",Switchblade Monkeys
8.0,Telltale Games,M,Tales From The Borderlands: Episode 1 - Zer0 Sum,80,PS4,"Miscellaneous,General,Adventure,General",Telltale Games
6.8,Tikipod Limited,E10+,Rock Boshers DX: Director's Cut,74,PS4,"Action,Shooter,Static,Shoot-'Em-Up,Top-Down",Tikipod Limited
7.4,Telltale Games,M,Game of Thrones: Episode One - Iron From Ice,77,PS4,"Action,Adventure,General,Point-and-Click",Telltale Games
7.6,Black Forest Games,E,Giana Sisters: Twisted Dreams - Director's Cut,80,PS4,"Action,Platformer,2D",Black Forest Games
4.9,10tons Ltd,T,Tennis in the Face,68,PS4,"Puzzle,Action,General","10tons Ltd, 10tons"
7.3,Metalhead Software,E,Super Mega Baseball,85,PS4,"Traditional,Sports,Team,Baseball,Arcade",Metalhead Software
5.9,Edge of Reality,M,Loadout,59,PS4,"Action,Shooter,Third-Person,Modern,Arcade",Edge of Reality
6.1,Warner Bros. Interactive Entertainment,M,Middle-earth: Shadow of Mordor - Lord of the Hunt,61,PS4,"Action Adventure,Fantasy,Open-World",Monolith Productions
6.7,Square Enix,T,Lara Croft and the Temple of Osiris,74,PS4,"Action,Action Adventure,Platformer,Linear,2D",Nixxes Software
3.6,Ubisoft,E,Tetris Ultimate,63,PS4,"Miscellaneous,Puzzle,Stacking","Ubisoft, Ubisoft San Francisco"
3.0,Activision,T,Destiny: The Dark Below,63,PS4,"Sci-Fi,Action,Shooter,First-Person,Arcade",Bungie
8.0,Aksys Games,T,Guilty Gear Xrd -SIGN-,84,PS4,"Action,Fighting,2D",Arc System Works
5.3,Atomicom,E10+,Switch Galaxy Ultra,70,PS4,"Action,Flight,Flight,Arcade",Atomicom
7.3,Deep Silver,M,Saints Row IV: Re-Elected & Gat Out of Hell,66,PS4,"Action Adventure,General,Modern,Open-World",Volition Inc.
5.2,Cipher Prime Studios,E,Splice,74,PS4,"Puzzle,General",Cipher Prime Studios
5.4,Ubisoft,M,Far Cry 4: Escape from Durgesh Prison,56,PS4,"Action,Shooter,First-Person,Modern,Arcade",Ubisoft Montreal
2.1,Maximum Games,E,Motorcycle Club,26,PS4,"Driving,Racing,Simulation,Arcade,Motorcycle,Automobile,Street",Bigben Interactive
6.4,Ubisoft,M,Assassin's Creed Unity: Dead Kings,68,PS4,"Action Adventure,Historic,Open-World","Ubisoft, Ubisoft Montreal"
8.3,Capcom,M,Resident Evil HD Remaster,83,PS4,"Horror,Action Adventure,Survival",Capcom
6.2,Zachtronics Industries,T,Ironclad Tactics,66,PS4,"Strategy,General",Zachtronics Industries
7.1,Atlus,E10+,Citizens of Earth,70,PS4,"Role-Playing,General,Japanese-Style",Eden Industries
7.3,Deep Silver,M,Saints Row IV: Re-Elected,75,PS4,"Action Adventure,Modern,Open-World",Volition Inc.
7.8,Double Fine Productions,T,Grim Fandango Remastered,80,PS4,"General,Adventure,3D,Third-Person,Fantasy",Double Fine Productions
5.8,Deep Silver,M,Saints Row: Gat Out of Hell,64,PS4,"Action Adventure,General,Modern,Open-World",Volition Inc.
7.9,Warner Bros. Interactive Entertainment,M,Dying Light,74,PS4,"Horror,Action Adventure,Horror,Survival",Techland
5.7,Ubisoft,E10+,RISK,58,PS4,"Miscellaneous,Board / Card Game",Zoe Mode
7.3,Alientrap,T,Apotheon,76,PS4,"Action,Beat-'Em-Up,2D",Alientrap
8.2,Square Enix,M,Life is Strange: Episode 1 - Chrysalis,75,PS4,"Action Adventure,General",DONTNOD Entertainment
7.4,SCEA,E,Super Stardust Ultra,74,PS4,"Action,Shooter,Shoot-'Em-Up,Top-Down",d3t Ltd
7.1,Telltale Games,M,Game of Thrones: Episode Two - The Lost Lords,69,PS4,"Action,Adventure,General,Point-and-Click",Telltale Games
7.2,Red Phantom Games,E,Minutes,76,PS4,"Action,General",Red Phantom Games
6.5,Grip Games,E,Unmechanical: Extended Edition,75,PS4,"Action,Puzzle,General,Platformer,2D",Grip Games
4.5,Ubisoft,E,Trivial Pursuit Live!,63,PS4,"Miscellaneous,Trivia / Game Show",Longtail Studios
7.1,SCEA,E10+,Resogun: Defenders,85,PS4,"Action,Shooter,Shoot-'Em-Up,Horizontal",Housemarque
